player,team,pk_blocks,pk_takeaways,pk_giveaways,pk_hits,pk_faceoff_wins,pk_faceoff_losses,pk_penalties_taken,pk_faceoff_pct,season
Brian Boyle,PIT,0,0,0,0,1,0,0,100.0,20212022
Anthony Beauvillier,NYI,0,0,0,0,0,1,0,0.0,20212022
Anthony Duclair,FLA,0,1,2,2,0,0,1,,20212022
MacKenzie Weegar,FLA,0,0,0,0,0,0,1,,20212022
Jonathan Huberdeau,FLA,1,1,2,0,0,0,1,,20212022
Alexander Barabanov,SJS,0,1,2,0,0,0,0,,20212022
Andrew Cogliano,SJS,0,0,0,0,1,0,0,100.0,20212022
Jonah Gadjovich,SJS,0,0,0,0,0,0,3,,20212022
Jake Middleton,SJS,1,0,0,0,0,0,0,,20212022
Jasper Weatherby,SJS,0,0,0,0,1,0,0,100.0,20212022
Jonas Siegenthaler,NJD,0,0,0,0,0,0,1,,20212022
Jack Hughes,NJD,1,1,4,0,1,1,0,50.0,20212022
Anton Blidh,BOS,0,0,0,1,0,0,2,,20212022
Quinn Hughes,VAN,0,0,0,0,0,0,1,,20212022
Austin Czarnik,NYI,0,0,0,0,0,1,0,0.0,20212022
Ryan Poehling,MTL,0,0,1,0,1,3,0,25.0,20212022
Alex Belzile,MTL,0,0,1,1,0,0,0,,20212022
Sami Niku,MTL,0,0,1,0,0,0,0,,20212022
Lukas Vejdemo,MTL,0,0,0,0,0,2,0,0.0,20212022
Brandon Baddock,MTL,0,0,0,1,0,0,0,,20212022
Brayden McNabb,VGK,0,0,0,0,0,0,2,,20212022
Michael Amadio,VGK,0,0,0,0,0,0,1,,20212022
Alex Tuch,BUF,0,0,3,0,0,0,1,,20212022
J.T. Compher,COL,0,0,0,0,4,4,0,50.0,20212022
Morgan Rielly,TOR,0,0,0,0,0,0,2,,20212022
Mackenzie Blackwood,NJD,0,0,1,0,0,0,0,,20212022
Nathan Bastian,NJD,1,0,0,2,0,2,1,0.0,20212022
Janne Kuokkanen,NJD,0,0,1,0,0,0,0,,20212022
Rasmus Ristolainen,PHI,1,0,1,0,0,0,2,,20212022
Travis Konecny,PHI,0,0,0,0,2,0,1,100.0,20212022
Scott Laughton,PHI,0,0,3,0,2,4,0,33.33333333333333,20212022
Keith Yandle,PHI,0,0,0,0,0,0,1,,20212022
Nico Sturm,MIN,0,0,0,0,0,1,0,0.0,20212022
Marcus Foligno,MIN,0,0,0,1,0,0,1,,20212022
Connor Dewar,MIN,0,0,0,0,1,0,0,100.0,20212022
Frederick Gaudreau,MIN,0,0,0,0,1,3,0,25.0,20212022
Curtis Lazar,BOS,0,0,0,0,0,1,2,0.0,20212022
Dmitry Kulikov,MIN,0,0,0,0,0,0,1,,20212022
Marco Rossi,MIN,0,1,0,0,0,1,1,0.0,20212022
Mark Jankowski,BUF,0,0,0,0,1,1,0,50.0,20212022
Dillon Dube,CGY,0,0,1,0,0,0,1,,20212022
Johnny Gaudreau,CGY,0,0,1,0,0,0,0,,20212022
Nikita Kucherov,TBL,0,0,4,2,0,0,2,,20212022
Joe Thornton,FLA,0,1,0,0,0,0,0,,20212022
Frank Vatrano,FLA,0,0,0,0,0,0,1,,20212022
Alexis Lafrenière,NYR,0,0,1,1,0,0,0,,20212022
Jacob Trouba,NYR,0,1,0,1,0,0,1,,20212022
Barclay Goodrow,NYR,0,0,0,0,5,3,1,62.5,20212022
Buddy Robinson,ANA,0,0,0,0,0,1,2,0.0,20212022
Morgan Barron,NYR,0,0,0,0,1,0,0,100.0,20212022
Ryan Lindgren,NYR,0,0,0,0,0,0,1,,20212022
Nicklas Backstrom,WSH,0,2,1,0,8,8,0,50.0,20212022
Alex Killorn,TBL,0,1,1,1,0,0,4,,20212022
Evgeni Malkin,PIT,0,0,1,0,0,1,0,0.0,20212022
