player,team,season,TOI,position,xPKS,PKS,xga_per60,ga_per60,pk_blocks_per60,pk_takeaways_per60,pk_giveaways_per60,sh_goals_per60,Rank,gap
Ridly Greig,OTT,20242025,135.25,C,10.8,11.6,8.521996303142329,7.985212569316081,0.0,0.0,1.7744916820702403,0.8872458410351202,132,0.7999999999999989
Cale Makar,COL,20242025,164.13333333333,D,10.8,10.6,8.597887896019671,8.042242079610237,0.0,0.7311129163282033,0.0,0.7311129163282033,133,-0.20000000000000107
Jeremy Lauzon,NSH,20242025,72.116666666667,D,10.7,20.0,7.93713889530849,2.4959556274555004,0.0,0.0,0.0,0.0,134,9.3
Tyler Myers,VAN,20242025,152.73333333333,D,10.6,12.9,7.774334351811605,6.678306416412194,0.0,0.0,0.0,0.3928415539065996,135,2.3000000000000007
Kris Letang,PIT,20242025,154.76666666667,D,10.6,6.2,7.249623088520196,8.528968339435526,0.0,0.0,0.7753607581305024,0.0,136,-4.3999999999999995
Travis Konecny,PHI,20242025,98.25,R,10.6,6.8,6.680916030534351,7.32824427480916,0.6106870229007634,0.0,0.0,0.6106870229007634,137,-3.8
Logan Cooley,UTA,20242025,84.15,C,10.5,7.8,7.672014260249554,7.84313725490196,0.0,0.0,0.0,0.0,138,-2.7
Anze Kopitar,L.A,20242025,80.95,C,10.5,8.5,8.420012353304507,8.153180975911056,0.7411982705373688,0.7411982705373688,1.4823965410747375,0.0,139,-2.0
Scott Laughton,"PHI, TOR",20242025,118.51666666667,C,10.5,5.0,6.986359161861707,8.606384474757176,0.0,0.0,0.0,0.5062579102798339,140,-5.5
Anthony Cirelli,T.B,20242025,155.33333333333,C,10.5,13.4,9.351502145922948,6.180257510729747,0.0,0.0,0.7725321888412183,1.1587982832618275,141,2.9000000000000004
Alex Iafallo,WPG,20242025,143.61666666667,L,10.4,9.0,7.904375072530861,7.102239758616523,0.0,0.4177788093303837,0.0,0.0,142,-1.4000000000000004
Esa Lindell,DAL,20242025,271.83333333333,D,10.3,14.3,7.676762722256379,5.959534028203628,0.0,0.0,0.0,0.0,143,4.0
Marcus Foligno,MIN,20242025,105.88333333333,L,10.2,7.4,6.754604124036101,9.066582716826982,0.0,0.0,0.0,0.0,144,-2.799999999999999
Nick Jensen,OTT,20242025,135.01666666667,D,10.2,16.1,8.598938402666125,5.7770645599307295,0.0,0.0,0.0,0.0,145,5.900000000000002
